id,title,description,image,method_of_making,animation,perceptual_realism,encodings,contextual,mechanisms,link
ex-073,Drowning in Plastic,Segment: Entire Video,media/ex-073.png,3D render,Dynamic,Intermediate,Size; Count; Size,Shape; Simple Materials; Position; Spatial Arrangement - Stacking; Shape; Simple Materials; Camera,Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.reuters.com/graphics/ENVIRONMENT-PLASTIC/0100B275155/
ex-074,How Many Planets Fit Inside the Sun,Do we include the container in the collection or code it as separate visual element?,media/ex-074.png,3D render,Dynamic,Intermediate,Simple Materials; Size; Size; Count; Size,Position; Shape; Orientation; Simple Materials; Shape; Spatial Arrangement - Packing; Environment / Background; Lighting; Camera,Rigid-Body Mechanics; Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.instagram.com/p/DGimqdiNrD2/
ex-075,Animal Heartbeats,Entire Video,media/ex-075.png,3D render,Dynamic,High,Size; Position; Simple Materials; Other,Simple Materials; Shape; Simple Materials; Shape; Other; Position; Shape; Position; Position; Spatial Arrangement - Alignment; Lighting; Environment / Background; Camera,Wind,https://www.youtube.com/watch?v=bjHDI3LkI5A
ex-076,Surreal Speed Comparison,Segment: Entire Video,media/ex-076.png,3D render,Dynamic,High,Position; Shape; Simple Materials; Size; Other; Position,Shape; Simple Materials; Spatial Arrangement - Other; Environment / Background; Camera; Lighting,Living Movement,https://www.youtube.com/watch?v=Y-y3lYFAPQk
ex-077,Asteroids Size Comparison,Segment: Entire video,media/ex-077.png,3D render,Dynamic,High,Size; Shape; Size,Shape; Simple Materials; Break / Shatter; Spatial Arrangement - Alignment; Shape; Simple Materials; Environment / Background; Camera; Lighting,,https://www.youtube.com/watch?v=p7HFxlm62As
ex-078,Births and Deaths Rate,"Segment: 0:26-2:29

From the description: ""At standard pressure and 59 °F a metric ton of carbon dioxide gas would fill a sphere 33 feet across (density of CO₂ = 1.87 kg/m³: http://bit.ly/CO2_datasheet). If this is how New York's emissions actually emerged we would see one of these spheres emerge every 0.58 seconds.""",media/ex-078.png,3D render,Dynamic,Intermediate,Simple Materials; Count; Count,Position; Other; Spatial Arrangement - Stacking; Environment / Background; Camera; Lighting,Rigid-Body Mechanics; Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.youtube.com/watch?v=bIAF7kBbGKk
ex-079,Elephant Rocket Fuel,Segment: Entire video,media/ex-079.png,3D render,Dynamic,Intermediate,Shape; Count; Spatial Arrangement - Scattering,Spatial Arrangement - Scattering; Shape; Simple Materials; Size; Position; Shape; Simple Materials,Other,https://www.youtube.com/watch?v=X4iMeKif488
ex-080,Human Visits to Space,Segment: Entire video,media/ex-080.png,3D render,Dynamic,Intermediate,Count,Shape; Simple Materials; Position; Environment / Background; Orientation; Lighting,Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.instagram.com/p/DJB4PMriKLa/
ex-081,New York City's Greenhouse Gas Emissions,Segment: 0:24-2:34,media/ex-081.png,3D render,Dynamic,Intermediate,Size; Count; Size; Size; Position,Simple Materials; Shape; Position; Spatial Arrangement - Stacking; Shape; Simple Materials; Shape; Simple Materials; Position; Environment / Background; Camera; Lighting,Force Fields & Particles; Rigid-Body Mechanics; Other,https://www.youtube.com/watch?v=DtqSIplGXOA
ex-082,Number of deaths in the WW2,Segment: entire video,media/ex-082.png,3D render,Dynamic,Intermediate,Size; Size; Count; Position; Size; Simple Materials; Shape,Shape; Simple Materials; Spatial Arrangement - Stacking; Spatial Arrangement - Alignment; Shape; Camera; Lighting,Rigid-Body Mechanics,https://www.youtube.com/watch?v=7cgRwDkP6vk
ex-083,Garbage Dumps in the Ocean Total,Video Segment: First 3 seconds of the animation.,media/ex-083.png,3D render,Dynamic,Intermediate,Count; Size,Simple Materials; Shape; Orientation; Position; Spatial Arrangement - Scattering; Shape; Simple Materials; Other; Lighting; Camera,Rigid-Body Mechanics; Rigid-Body Mechanics; Fluids,https://scicom-lab.com/project/explore-the-ocean
ex-084,Visualizing the World’s Largest Cloud Service Providers,,media/ex-084.png,Graphic design - Illustration,Static,Low,Size; Position; Size,Simple Materials; Shape; Shape; Spatial Arrangement - Packing; Shape; Simple Materials; Environment / Background; Lighting,,https://www.voronoiapp.com/technology/Visualizing-the-Worlds-Largest-Cloud-Service-Providers-6444
ex-085,Europe's $2 Trillion Infrastructure Investment Deficit,,media/ex-085.png,Graphic design - Illustration,Static,Low,Size; Position; Break / Shatter,Shape; Simple Materials; Spatial Arrangement - Alignment,,https://www.voronoiapp.com/economy/Charted-Europes-2-Trillion-Infrastructure-Investment-Deficit-5965
ex-086,Number of Satellites,Segment: entire video,media/ex-086.png,3D render,Dynamic,High,Count; Density,Simple Materials; Position; Shape; Shape; Simple Materials; Orientation; Environment / Background; Lighting,Optics; Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.instagram.com/p/DKhMXuTKNk7/
ex-087,Planet Light Orbit,Entire Video,media/ex-087.png,3D render,Dynamic,High,Simple Materials; Orientation; Position; Position,Shape; Simple Materials; Simple Materials; Shape; Spatial Arrangement - Other; Environment / Background; Camera; Lighting,Rigid-Body Mechanics,https://www.instagram.com/p/DIy-jtaIEGX/
ex-088,How Many Moons,Segment: Entire video,media/ex-088.png,3D render,Dynamic,Intermediate,Simple Materials; Orientation; Count; Density; Position,Shape; Simple Materials; Position; Shape; Spatial Arrangement - Path; Spatial Arrangement - Other; Environment / Background; Lighting; Camera,Rigid-Body Mechanics,https://www.instagram.com/p/DIlsIMCoaQo/
ex-089,Technology Garden - Matches,Segment: Entire video,media/ex-089.png,3D render,Dynamic,Intermediate,Shape; Position; Orientation; Position; Position; Size,Simple Materials; Shape; Spatial Arrangement - Path; Spatial Arrangement - Path; Shape; Simple Materials; Spatial Arrangement - Path; Camera,Growth; Growth; Growth,https://variable.io/ibm-technology-garden/
ex-090,Technology Garden - Weather,"Entire Video
Better weather conditions -> more blooming
More wind -> more swaying
Higher temperature -> more saturated colors",media/ex-090.png,3D render,Dynamic,Intermediate,Other; Simple Materials; Other,Simple Materials; Shape; Camera; Lighting,,https://variable.io/ibm-technology-garden/
ex-091,Softness Simulation,Segment: entire video,media/ex-091.png,3D render,Dynamic,High,Break / Shatter; Stretch; Position; Break / Shatter,Simple Materials; Shape; Shape; Simple Materials; Environment / Background; Camera; Lighting,,https://www.youtube.com/shorts/ihwqYwqOAKM
ex-092,Total Mass of Biosphere,Entire video,media/ex-092.png,3D render,Dynamic,Intermediate,Size; Simple Materials; Position; Size,Shape; Size; Orientation; Spatial Arrangement - Other; Shape; Simple Materials; Environment / Background; Camera; Lighting,Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.youtube.com/shorts/YpZG8TsyGb0
ex-093,Antibiotics Consumption Levels in Europe,,media/ex-093.png,3D render,Static,High,Size; Position; Simple Materials,Shape; Simple Materials; Shape; Spatial Arrangement - Alignment; Simple Materials; Shape; Simple Materials; Shape; Camera; Lighting,,https://chitchart.com/chart/antibiotics-consumption-levels-europe
